CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,Footnotes,Type,2005,2006,2007,2008,2009,2010,2011,2012
8,Albania, , , , , , , , , , ,0.2, , , , , , ,5.6, , , ,35.9, , , 
12,Algeria, , , , , , , , , , , , , , , , , , ,13.1, , , , , , 
24,Angola, , , , , , , , , , , , , , , , , , , , , ,25.3, , , 
28,Antigua and Barbuda, , , , , , , , , , , , , , , , , , , , , , ,45.7, , 
51,Armenia, , , , , , , , , , ,6.6, , , , , , ,22.6, , , , ,15.8, , 
31,Azerbaijan, , , , , , , , , , ,2.1, , , , , , , ,4.8, , , , , , 
50,Bangladesh, , , , , , , , , , , , , , , , , , ,15.8,8, ,14.6, ,11.9, 
112,Belarus, , , , , , , , , , , , , , , , , ,33.5, , , , , , , 
84,Belize, , , , , , , , , , , , , , , , , , ,39.7, , , , ,42.9, 
204,Benin, , , , , , , , , , , ,8.4, , , , , , ,15.9, , , , , , 
64,Bhutan, , , , , , , , , , , , , , , , , , , , , , ,21, , 
68,Bolivia, , , , , , , , , , ,21.6, , ,14.9, , , , , , ,24.3, , , , 
70,Bosnia and Herzegovina, , , , , , , , , , , , , , , , , , ,43.5, , , , , ,47.6
72,Botswana, , , , , , , , , , , ,39.9, , , , , , , , , , , , , 
100,Bulgaria, , , , , , , , , , , , , , , , , ,17.2, , , , , , , 
854,Burkina Faso, , , , , , , , , , , , , ,14.7, , , , ,19, , , ,31.1, , 
108,Burundi, , , , , , , , , , ,23.8, , , , , , ,30.4, , , , ,44.5, , 
116,Cambodia, , , , , , , , , , ,37.1, , , , , , ,50.1, , , , ,44.4, , 
120,Cameroon, , , , , , , , , , ,16.1, , , ,27,50,C, ,32, , , , ,28.7, 
132,Cape Verde, , , , , , , , , , , , , , , , , ,36, , , , , , , 
140,Central African Republic, , , , , , , , , , ,5, , , , , , , ,17.3, , , ,17.4, , 
148,Chad, , , , , , , , , , , , , , ,8.1,55,C, , , , , ,10.1, , 
170,Colombia, , , , , , , , , , , , , , , , , , , , , , ,24.1, , 
174,Comoros, , , , , , , , , , ,9.8, , , , , , , , , , , , , , 
178,Congo, , , , , , , , , , , , , , , , , ,10, , , ,8.3, , , 
384,Cote d'Ivoire, , , , , , , , , , ,16.3, , , , , , ,18, , , , , , , 
192,Cuba, , , , , , , , , , , , , , , , , , ,51.9, , , ,53.5, , 
180,Democratic Republic of the Congo, , , , , , , , , , , , , , , , , , , ,15.1, , ,15.2, , 
262,Djibouti, , , , , , , , , , , , , , , , , ,15,18.4, , , , , , 
212,Dominica, , , , , , , , , , , , , , , , , , , , , , , ,56.2, 
214,Dominican Republic, , , , , , ,22.6, , ,17.8,33.3, , , , , , , , ,40.8, , , , , 
818,Egypt, , , , , , , , , , , , , , , , , ,3.7, , ,4.8, , , , 
222,El Salvador, , , , , , , , , , , , , , , , , , , , ,27.3, , , , 
226,Equatorial Guinea, , , , , , , , , , ,4, , , , , , , , , , , , , , 
232,Eritrea, , , , , , , , , , , , ,36.5, , , , , , , , , , , , 
231,Ethiopia, , , , , , , , , , , , , , , , , ,20.5, , , , , ,23.9, 
266,Gabon, , , , , , , , , , ,24, , , , , , , , , , , , , , 
